two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
2.01136,-0.0,-0.0,-0.0,-0.0,0.4400668,-0.0,-0.0,-0.0
2.02944,-0.0,-0.0,-0.0,-0.0,0.45184278,-0.0,-0.0,-0.0
2.04752,-0.0,-0.0,-0.0,-0.0,0.46447384,-0.0,-0.0,-0.0
2.0656,-0.0,-0.0,-0.0,-0.0,0.4765529,-0.0,-0.0,-0.0
2.08368,-0.0,-0.0,-0.0,-0.0,0.48876414,-0.0,-0.0,-0.0
2.10176,-0.0,-0.0,-0.0,-0.0,0.5007227,-0.0,-0.0,-0.0
2.11984,-0.0,-0.0,-0.0,-0.0,0.51283544,-0.0,-0.0,-0.0
2.13792,-0.0,-0.0,-0.0,-0.0,0.5269977,-0.0,-0.0,-0.0
2.156,-0.0,-0.0,-0.0,-0.0,0.5394625,-0.0,-0.0,-0.0
2.17408,-0.0,6.103138e-06,-0.0,-0.0,0.5551203,-0.0,-0.0,-0.0
2.19216,-0.0,0.0025292267,-0.0,-0.0,0.57237536,-0.0,-0.0,-0.0
2.21024,-0.0,0.006251536,-0.0,-0.0,0.59122264,-0.0,-0.0,-0.0
2.22832,-0.0,0.009110663,-0.0,-0.0,0.6121067,-0.0,-0.0,-0.0
2.2464,-0.0,0.006248648,-0.0,-0.0,0.6306597,-0.0,-0.0,-0.0
2.26448,-0.0,0.009569852,-0.0,-0.0,0.64911485,-0.0,-0.0,-0.0
2.28256,-0.0,0.002373309,-0.0,-0.0,0.6626088,-0.0,-0.0,-0.0
2.30064,-0.0,0.0063436045,-0.0,-0.0,0.6750227,-0.0,-0.0,-0.0
2.31872,-0.0,0.0050354325,-0.0,-0.0,0.68551975,-0.0,-0.0,-0.0
2.3368,-0.0,0.009358166,-0.0,-0.0,0.69460684,-0.0,-0.0,-0.0
2.35488,-0.0,0.018664366,-0.0,-0.0,0.7040844,-0.0,-0.0,-0.0
2.37296,-0.0,0.017394178,-0.0,0.007505578,0.7120273,-0.0,-0.0,-0.0
2.39104,-0.0,0.028479066,-0.0,0.033745714,0.72081125,-0.0,2.7223382e-06,2.2886554e-05
2.40912,-0.0,0.026312592,-0.0,0.07425161,0.72719485,-0.0,2.0096977e-06,-0.0
2.4272,-0.0,0.033662226,-0.0,0.107760526,0.7326121,-0.0,-0.0,-0.0
2.44528,-0.0,0.0341721,-0.0,0.14681928,0.7348133,-0.0,-0.0,-0.0
2.46336,-0.0,0.034610916,-0.0,0.17296587,0.7352107,-0.0,-0.0,-0.0
2.48144,-0.0,0.038692076,-0.0,0.19300145,0.7342157,-0.0,-0.0,-0.0
2.49952,-0.0,0.03723618,-0.0,0.19775698,0.7282018,-0.0,-0.0,0.00015128957
2.5176,-0.0,0.042009957,-0.0,0.2022818,0.724545,-0.0,-0.0,0.036246814
2.53568,-0.0,0.041951157,-0.0,0.21315874,0.7240842,-0.0,-0.0,0.08092234
2.55376,-0.0,0.0454683,-0.0,0.2517981,0.7285266,-0.0,-0.0,0.11407597
2.57184,-0.0,0.048443347,-0.0,0.29712114,0.74434984,-0.0,-0.0,0.1454234
2.58992,-0.0,0.047129434,-0.0,0.3477634,0.7685624,-0.0,-0.0,0.13672626
2.608,0.040956736,0.05915767,-0.0,0.36100948,0.8215538,-0.0,-0.0,0.11777257
2.62608,0.13184567,0.04576985,-0.0,0.30382755,0.9022155,-0.0,-0.0,0.058932953
2.64416,0.1834062,0.025798861,-0.0,0.18223204,1.0035946,-0.0,-0.0,0.0345071
2.66224,0.30920023,0.00834055,-0.0,0.09339178,1.1552776,-0.0,-0.0,0.06753992
2.68032,0.31248158,-0.0,-0.0,0.0007926562,1.2903658,-0.0,-0.0,0.033991333
2.6984,0.32911453,-0.0,-0.0,-0.0,1.4057512,-0.0,-0.0,0.04499172
2.71648,0.26588926,0.028464764,-0.0,-0.0,1.438816,-0.0,-0.0,-0.0
2.73456,0.1829569,0.07503856,-0.0,-0.0,1.4031878,-0.0,-0.0,-0.0
2.75264,0.09629651,0.11722176,-0.0,-0.0,1.2811588,-0.0,-0.0,-0.0
2.77072,0.02811237,0.16169545,-0.0,-0.0,1.1105552,-0.0,-0.0,-0.0
2.7888,-0.0,0.14666317,-0.0,-0.0,0.9147089,-0.0,-0.0,-0.0
2.80688,-0.0,0.14501472,-0.0,-0.0,0.74039596,-0.0,-0.0,-0.0
2.82496,-0.0,0.109721355,-0.0,-0.0,0.60103256,-0.0,-0.0,0.023709683
2.84304,-0.0,0.06551869,-0.0,-0.0,0.48917237,-0.0,-0.0,0.06123658
2.86112,-0.0,0.058401074,-0.0,-0.0,0.41222772,-0.0,-0.0,0.09390728
2.8792,-0.0,0.03397482,-0.0,-0.0,0.35720938,-0.0,-0.0,0.11886825
2.89728,-0.0,0.032362204,-0.0,0.019164018,0.31929252,-0.0,-0.0,0.13009451
2.91536,-0.0,0.021544458,-0.0,0.039593935,0.28925112,-0.0,-0.0,0.12870708
2.93344,-0.0,0.020699434,-0.0,0.058435693,0.2660253,-0.0,-0.0,0.12913963
2.95152,2.1397691e-05,0.01826846,-0.0,0.079802915,0.24951793,-0.0,-0.0,0.13870323
2.9696,0.0003776956,0.015514796,-0.0,0.11106518,0.23449273,-0.0,-0.0,0.14743786
2.98768,0.003373375,0.014767809,-0.0,0.14274585,0.2221978,-0.0,-0.0,0.14972048
3.00576,0.010199081,0.013065878,-0.0,0.17827767,0.21178988,-0.0,-0.0,0.16306618
