two_theta,component-0,component-1,component-2,component-3,component-4,component-5,component-6,component-7
3.11424,-0.0,-0.0,-0.0,-0.0,0.64979136,0.19468342,-0.0,0.42963782
3.1504,-0.0,-0.0,1.5243267e-05,-0.0,0.6166625,0.13082655,-0.0,0.39115268
3.18656,-0.0,-0.0,3.0439624e-05,-0.0,0.5884027,0.12916578,-0.0,0.37117374
3.22272,-0.0,-0.0,2.044846e-05,-0.0,0.5666753,0.21081862,-0.0,0.34752476
3.25888,-0.0,-0.0,0.0011719181,-0.0,0.55064607,0.24309932,-0.0,0.3060716
3.29504,-0.0,0.0029688885,2.0879525e-05,-0.0,0.53482026,0.15118709,-0.0,0.2945185
3.3312,-0.0,0.0190265,-0.0,-0.0,0.52347666,0.0939489,-0.0,0.3209436
3.36736,-0.0,0.019227922,-0.0,-0.0,0.51429915,0.12582666,-0.0,0.3453175
3.40352,-0.0,-0.0,-0.0,-0.0,0.5029868,0.39229843,-0.0,0.3636997
3.43968,-0.0,-0.0,-0.0,-0.0,0.49830914,0.6033752,-0.0,0.3783854
3.47584,-0.0,-0.0,-0.0,-0.0,0.4995952,0.5342145,-0.0,0.38828206
3.512,-0.0,-0.0,-0.0,-0.0,0.50028545,0.3015873,-0.0,0.37653774
3.54816,-0.0,-0.0,-0.0,-0.0,0.50270456,0.26278862,-0.0,0.370419
3.58432,-0.0,-0.0,-0.0,-0.0,0.50713265,0.30450243,-0.0,0.37655595
3.62048,-0.0,-0.0,-0.0,-0.0,0.5068676,0.27700484,-0.0,0.3873328
3.65664,-0.0,0.02422997,-0.0,-0.0,0.5039384,0.2505487,-0.0,0.39989704
3.6928,-0.0,0.028207267,-0.0,-0.0,0.5040423,0.2933148,-0.0,0.41305158
3.72896,-0.0,0.017733345,-0.0,-0.0,0.5080854,0.28558916,-0.0,0.41519377
3.76512,-0.0,6.5971806e-05,-0.0,-0.0,0.50960463,0.17945299,-0.0,0.40572256
3.80128,-0.0,-0.0,-0.0,-0.0,0.50668955,0.11607065,-0.0,0.40514645
3.83744,-0.0,-0.0,3.3361903e-06,-0.0,0.5017182,0.16759792,-0.0,0.42657274
3.8736,-0.0,-0.0,3.4527795e-05,-0.0,0.50015,0.21504627,-0.0,0.46612668
3.90976,-0.0,-0.0,0.011368665,-0.0,0.49983013,0.15814413,-0.0,0.5509814
3.94592,-0.0,-0.0,0.03736472,-0.0,0.49590093,0.13370316,-0.0,0.6852574
3.98208,-0.0,-0.0,0.04396842,-0.0,0.4957519,0.2693214,-0.0,0.77539974
4.01824,-0.0,-0.0,0.02876763,-0.0,0.5051792,0.50643265,-0.0,0.755116
4.0544,-0.0,-0.0,0.02484427,-0.0,0.51881874,0.45084253,-0.0,0.73141575
4.09056,-0.0,-0.0,0.015357949,-0.0,0.532957,0.3289835,-0.0,0.7854178
4.12672,-0.0,-0.0,6.396591e-05,-0.0,0.5482548,0.41324607,-0.0,0.8176933
4.16288,-0.0,-0.0,-0.0,-0.0,0.5619161,0.6396153,-0.0,0.7850998
4.19904,-0.0,-0.0,-0.0,-0.0,0.57839423,0.75370973,-0.0,0.78820425
4.2352,-0.0,0.010469047,-0.0,-0.0,0.6056509,0.65807045,-0.0,0.89897466
4.27136,-0.0,0.03833608,0.00014176278,-0.0,0.64507085,0.41550878,-0.0,1.107192
4.30752,-0.0,0.048364807,1.594843e-05,-0.0,0.6766774,0.2741141,-0.0,1.320891
4.34368,-0.0,0.022094436,-0.0,-0.0,0.7044866,0.46845257,-0.0,1.383581
4.37984,-0.0,0.07236806,4.5750454e-05,-0.0,0.76054925,0.64448255,-0.0,1.2906601
4.416,-0.0,0.14406419,9.103347e-06,-0.0,0.8254477,0.5579453,-0.0,1.1744862
4.45216,-0.0,0.1309246,1.9727693e-05,-0.0,0.8374681,0.1939086,-0.0,1.0675483
4.48832,-0.0,0.0027741543,-0.0,-0.0,0.79116184,-0.0,-0.0,0.905873
4.52448,-0.0,-0.0,-0.0,-0.0,0.7632969,-0.0,-0.0,0.80181617
4.56064,-0.0,-0.0,-0.0,-0.0,0.77104706,-0.0,-0.0,0.8552304
4.5968,-0.0,-0.0,-0.0,-0.0,0.7932137,-0.0,-0.0,0.9239706
4.63296,-0.0,-0.0,0.033187296,-0.0,0.84111184,0.48251647,-0.0,0.9133491
4.66912,-0.0,-0.0,0.1826782,-0.0,0.9012418,1.2249393,-0.0,0.9243433
4.70528,-0.0,-0.0,0.33846956,-0.0,0.9374993,1.714775,-0.0,0.92847896
4.74144,-0.0,0.061312318,0.51252633,-0.0,0.9569695,1.555496,-0.0,0.9616763
4.7776,-0.0,0.3103949,0.574661,-0.0,0.98230886,0.9492734,-0.0,0.9791122
4.81376,-0.0,0.3883727,0.36395952,-0.0,1.0157824,0.6895332,-0.0,0.9461545
4.84992,-0.0,0.381101,0.03556158,-0.0,1.0577219,0.8721082,-0.0,0.9239078
4.88608,-0.0,0.35066795,-0.0,-0.0,1.0682505,1.4388523,-0.0,0.95268625
4.92224,-0.0,0.32841438,-0.0,-0.0,1.0558705,2.0207908,-0.0,1.0045698
4.9584,-0.0,0.28758314,-0.0,-0.0,1.0518421,2.2842069,-0.0,1.0725578
4.99456,-0.0,0.20573069,-0.0,-0.0,1.0604199,2.1469817,-0.0,1.1634551
5.03072,-0.0,0.34923607,-0.0,-0.0,1.1670572,1.70128,-0.0,1.3313125
5.06688,-0.0,0.8445011,0.35368612,-0.0,1.4425992,1.3804445,-0.0,1.7205154
5.10304,-0.0,1.0832419,0.4275911,-0.0,1.6812786,1.7823806,-0.0,2.1650033
5.1392,-0.0,0.8335713,-0.0,-0.0,1.746365,2.1576624,-0.0,2.2978039
5.17536,0.1048751,0.053399775,-0.0,-0.0,1.546299,2.2048595,-0.0,2.1092887
5.21152,0.2836144,-0.0,-0.0,-0.0,1.3482746,1.36111,-0.0,1.8573976
5.24768,0.29651988,-0.0,-0.0,-0.0,1.242549,0.49325824,-0.0,1.5476621
5.28384,0.074851155,0.04179316,-0.0,-0.0,1.2176404,0.27788273,-0.0,1.2812691
5.32,-0.0,0.09809503,-0.0,-0.0,1.2286223,0.39878494,-0.0,1.1481814
5.35616,-0.0,0.13437402,-0.0,-0.0,1.2619255,0.5487486,-0.0,1.0986576
5.39232,-0.0,0.18287589,-0.0,-0.0,1.3139782,0.51144904,-0.0,1.0621456
5.42848,-0.0,0.21796642,-0.0,-0.0,1.3614284,0.35714555,-0.0,1.0315205
5.46464,-0.0,0.26904568,-0.0,-0.0,1.3996142,0.16691771,-0.0,1.0078157
5.5008,-0.0,0.30826092,-0.0,-0.0,1.4334131,0.09013513,-0.0,0.99320275
5.53696,-0.0,0.34653404,-0.0,-0.0,1.4653025,0.09475846,-0.0,0.96993023
5.57312,-0.0,0.39729226,-0.0,-0.0,1.4970468,0.1279913,-0.0,0.9297789
5.60928,-0.0,0.41868597,-0.0,-0.0,1.5341144,0.19772075,-0.0,0.8929669
5.64544,-0.0,0.3878044,-0.0,-0.0,1.5713468,0.2779008,-0.0,0.8654773
5.6816,-0.0,0.3688104,-0.0,-0.0,1.6111048,0.27465945,-0.0,0.8397982
5.71776,-0.0,0.39425933,-0.0,-0.0,1.654614,0.16346322,-0.0,0.8095145
5.75392,-0.0,0.42380774,-0.0,-0.0,1.6995002,0.055294804,-0.0,0.78266114
5.79008,-0.0,0.43010068,-0.0,-0.0,1.7330811,0.03607552,-0.0,0.7599818
5.82624,-0.0,0.46079695,-0.0,-0.0,1.7716935,0.09758835,-0.0,0.74782366
5.8624,-0.0,0.47186005,-0.0,-0.0,1.8063989,0.23891447,-0.0,0.75493664
5.89856,-0.0,0.5084746,-0.0,-0.0,1.8455362,0.4192199,-0.0,0.7670336
5.93472,-0.0,0.5084733,-0.0,-0.0,1.8734277,0.68934757,-0.0,0.76372385
5.97088,-0.0,0.4413961,3.3871652e-06,-0.0,1.877513,0.95859873,-0.0,0.73472565
6.00704,-0.0,0.3772562,-0.0,-0.0,1.8638723,0.9990159,-0.0,0.70226014
6.0432,-0.0,0.36273828,-0.0,-0.0,1.8431783,0.71050537,-0.0,0.6821058
6.07936,-0.0,0.37571073,-0.0,-0.0,1.8221265,0.37382936,-0.0,0.6728825
6.11552,-0.0,0.36676425,-0.0,-0.0,1.8018674,0.22627771,-0.0,0.66573405
6.15168,-0.0,0.3640538,-0.0,-0.0,1.7821294,0.1721905,-0.0,0.6589669
6.18784,-0.0,0.3522761,-0.0,-0.0,1.7551825,0.13717334,-0.0,0.6618072
6.224,-0.0,0.34132797,-0.0,-0.0,1.7200066,0.12185955,-0.0,0.67208153
6.26016,-0.0,0.3409309,-0.0,-0.0,1.6813034,0.14077242,-0.0,0.6635871
6.29632,-0.0,0.36628422,-0.0,-0.0,1.6469649,0.21788856,-0.0,0.6241891
6.33248,-0.0,0.39594623,-0.0,-0.0,1.618757,0.4018027,-0.0,0.5850289
6.36864,-0.0,0.35982636,1.4020552e-05,-0.0,1.5823874,0.6330685,-0.0,0.57555425
6.4048,-0.0,0.27447745,-0.0,-0.0,1.5366088,0.7439236,-0.0,0.5877422
6.44096,-0.0,0.24367262,-0.0,-0.0,1.4940877,0.63693434,-0.0,0.606044
6.47712,-0.0,0.2616497,-0.0,-0.0,1.4605622,0.40980923,-0.0,0.6319673
6.51328,-0.0,0.25157613,2.6475003e-05,-0.0,1.4264531,0.29516163,-0.0,0.65566874
6.54944,-0.0,0.22229387,3.071517e-05,-0.0,1.3917276,0.31322217,-0.0,0.6546116
6.5856,-0.0,0.18990444,2.2431674e-05,-0.0,1.3529376,0.35219377,-0.0,0.631164
6.62176,-0.0,0.18859951,-0.0,-0.0,1.3211417,0.31631,-0.0,0.6224179
